Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,16,max,0.4,1,1.6,proportional,,memory,0.0,0.0166624,0.10145974426899021,0.00024,0.0006499230723708769
BA,16,max,0.4,1,1.7,proportional,,memory,0.0,3.766666666666668e-05,0.00037477860131016034,0.00052,0.0008772684879784522
BA,16,max,0.4,1,1.8,proportional,,memory,0.0,0.0,0.0,0.0007400000000000001,0.0010061808982484214
BA,16,max,0.4,1,1.9,proportional,,memory,0.0,0.0,0.0,0.0008799999999999999,0.0009927738916792686
BA,16,max,0.4,1,2.0,proportional,,memory,0.0,0.0,0.0,0.0011200000000000001,0.0009927738916792686
BA,16,max,0.4,2,1.0,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.4,2,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.4,2,1.2,proportional,,amnesic,0.0,0.9956708000000001,0.043074996127219774,0.0,0.0
BA,16,max,0.4,2,1.3,proportional,,amnesic,0.0,0.9316418,0.1969617211019102,0.0,0.0
BA,16,max,0.4,2,1.4,proportional,,amnesic,0.0,0.7493730000000001,0.3611988088430894,0.0,0.0
BA,16,max,0.4,2,1.5,proportional,,amnesic,0.0,0.2654242666666667,0.35167903017321545,0.0,0.0
BA,16,max,0.4,2,1.6,proportional,,amnesic,0.0,0.0032900666666666667,0.01647866535844319,0.0,0.0
BA,16,max,0.4,2,1.7,proportional,,amnesic,0.0,2.3133333333333348e-05,0.00023017376045066486,0.0,0.0
BA,16,max,0.4,2,1.8,proportional,,amnesic,0.0,2.4000000000000007e-05,0.0002387969849055888,0.0,0.0
BA,16,max,0.4,2,1.9,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,2,2.0,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,2,1.0,proportional,,memory,0.0,1.0,0.0,0.02054,0.0991095777410034
BA,16,max,0.4,2,1.1,proportional,,memory,0.0,1.0,0.0,0.007980000000000001,0.026979243873763405
BA,16,max,0.4,2,1.2,proportional,,memory,0.0,0.9876814,0.08740172676806791,0.01268,0.09907743234460609
BA,16,max,0.4,2,1.3,proportional,,memory,0.0,0.9718554666666666,0.13845529834532636,0.00194,0.002690055761503839
BA,16,max,0.4,2,1.4,proportional,,memory,0.0,0.7671366000000001,0.3593094243505264,0.00068,0.0015025311976794358
BA,16,max,0.4,2,1.5,proportional,,memory,0.0,0.26806233333333335,0.3543992631662456,0.0002,0.0007211102550927978
BA,16,max,0.4,2,1.6,proportional,,memory,0.0,0.006928600000000003,0.022201349434362475,0.00021999999999999998,0.0006257795138864806
BA,16,max,0.4,2,1.7,proportional,,memory,0.0,0.00010933333333333341,0.00047705858014387417,0.00058,0.0009075241043630744
BA,16,max,0.4,2,1.8,proportional,,memory,0.0,2.086666666666668e-05,0.00020762071187624816,0.00096,0.0009991996797437436
BA,16,max,0.4,2,1.9,proportional,,memory,0.0,0.0,0.0,0.00094,0.0009981983770774225
BA,16,max,0.4,2,2.0,proportional,,memory,0.0,0.0,0.0,0.00098,0.0009997999799959993
BA,16,max,0.4,3,1.0,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.4,3,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.4,3,1.2,proportional,,amnesic,0.0,0.9926266666666667,0.07336374036266143,0.0,0.0
BA,16,max,0.4,3,1.3,proportional,,amnesic,0.0,0.9430288666666666,0.18273390357214928,0.0,0.0
BA,16,max,0.4,3,1.4,proportional,,amnesic,0.0,0.6925643333333334,0.3812950654485899,0.0,0.0
BA,16,max,0.4,3,1.5,proportional,,amnesic,0.0,0.2347314,0.3165779717995342,0.0,0.0
BA,16,max,0.4,3,1.6,proportional,,amnesic,0.0,0.0043890000000000005,0.017527473352172328,0.0,0.0
BA,16,max,0.4,3,1.7,proportional,,amnesic,0.0,0.00014080000000000006,0.0006394332768597174,0.0,0.0
BA,16,max,0.4,3,1.8,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,3,1.9,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,3,2.0,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,3,1.0,proportional,,memory,0.0,1.0,0.0,0.0103,0.01241732660438631
BA,16,max,0.4,3,1.1,proportional,,memory,0.0,1.0,0.0,0.00532,0.006555730317821196
BA,16,max,0.4,3,1.2,proportional,,memory,0.0,1.0,0.0,0.0022800000000000003,0.0032002499902351383
BA,16,max,0.4,3,1.3,proportional,,memory,0.0,0.9538604666666666,0.17023641930563638,0.0017400000000000002,0.0026177089219391833
BA,16,max,0.4,3,1.4,proportional,,memory,0.0,0.7546950666666664,0.34708791682751244,0.0007000000000000001,0.0015588457268119894
BA,16,max,0.4,3,1.5,proportional,,memory,0.0,0.31165813333333336,0.3626989893391305,0.00036,0.000954148835350125
BA,16,max,0.4,3,1.6,proportional,,memory,0.0,0.012982666666666667,0.10098698166485508,0.0003,0.0007681145747868609
BA,16,max,0.4,3,1.7,proportional,,memory,0.0,6.353333333333336e-05,0.00045972306156351735,0.0006,0.0009165151389911682
BA,16,max,0.4,3,1.8,proportional,,memory,0.0,6.0000000000000035e-05,0.0003411744421846398,0.00084,0.0009871170143402454
BA,16,max,0.4,3,1.9,proportional,,memory,0.0,0.0,0.0,0.001,0.001
BA,16,max,0.4,3,2.0,proportional,,memory,0.0,0.0,0.0,0.0008000000000000001,0.0009797958971132711
BA,16,max,0.6,1,1.0,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,1,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,1,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,1,1.3,proportional,,amnesic,0.0,0.9547314666666666,0.15775324399856605,0.0,0.0
BA,16,max,0.6,1,1.4,proportional,,amnesic,0.0,0.7613422666666668,0.36664017056172243,0.0,0.0
BA,16,max,0.6,1,1.5,proportional,,amnesic,0.0,0.275629,0.34716539323482243,0.0,0.0
BA,16,max,0.6,1,1.6,proportional,,amnesic,0.0,0.0027923333333333346,0.01387746366115461,0.0,0.0
BA,16,max,0.6,1,1.7,proportional,,amnesic,0.0,4.166666666666669e-05,0.0002919046648022833,0.0,0.0
BA,16,max,0.6,1,1.8,proportional,,amnesic,0.0,4.3000000000000015e-05,0.00030174658241643776,0.0,0.0
BA,16,max,0.6,1,1.9,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.6,1,2.0,proportional,,amnesic,0.0,6.000000000000002e-05,0.0005969924622639722,0.0,0.0
BA,16,max,0.6,1,1.0,proportional,,memory,0.0,1.0,0.0,0.01012,0.011729688827927192
BA,16,max,0.6,1,1.1,proportional,,memory,0.0,1.0,0.0,0.005520000000000001,0.00600746202651336
BA,16,max,0.6,1,1.2,proportional,,memory,0.0,0.9951333333333333,0.048422721939188854,0.00256,0.0032258952245849525
BA,16,max,0.6,1,1.3,proportional,,memory,0.0,0.9767969999999999,0.11493385540242992,0.0017399999999999998,0.0023435869943315524
BA,16,max,0.6,1,1.4,proportional,,memory,0.0,0.7894180666666668,0.33670436079319066,0.0009,0.0019261360284258226
BA,16,max,0.6,1,1.5,proportional,,memory,0.0,0.30190639999999996,0.3684716447307656,0.0004,0.0012328828005937953
BA,16,max,0.6,1,1.6,proportional,,memory,0.0,0.012242933333333334,0.10013003835377719,0.00020000000000000004,0.0006
BA,16,max,0.6,1,1.7,proportional,,memory,0.0,8.360000000000007e-05,0.0004097396680278293,0.0005200000000000001,0.0008772684879784523
BA,16,max,0.6,1,1.8,proportional,,memory,0.0,2.0933333333333345e-05,0.00020828403683431925,0.00066,0.0009404254356407
BA,16,max,0.6,1,1.9,proportional,,memory,0.0,2.0000000000000012e-05,0.0001989974874213241,0.0007000000000000001,0.0009539392014169458
BA,16,max,0.6,1,2.0,proportional,,memory,0.0,0.0,0.0,0.0009,0.0009949874371066201
BA,16,max,0.6,2,1.0,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,2,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,2,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.6,2,1.3,proportional,,amnesic,0.0,0.9564661999999999,0.16176584980425668,0.0,0.0
BA,16,max,0.6,2,1.4,proportional,,amnesic,0.0,0.7108253999999999,0.36839943160976174,0.0,0.0
BA,16,max,0.6,2,1.5,proportional,,amnesic,0.0,0.3338610666666667,0.3804957766221679,0.0,0.0
BA,16,max,0.6,2,1.6,proportional,,amnesic,0.0,0.004407266666666668,0.01697705662475095,0.0,0.0
BA,16,max,0.6,2,1.7,proportional,,amnesic,0.0,2.3133333333333348e-05,0.00023017376045066486,0.0,0.0
BA,16,max,0.6,2,1.8,proportional,,amnesic,0.0,2.3000000000000007e-05,0.0002288471105345227,0.0,0.0
BA,16,max,0.6,2,1.9,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.6,2,2.0,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.6,2,1.0,proportional,,memory,0.0,1.0,0.0,0.01004,0.011429715657005646
BA,16,max,0.6,2,1.1,proportional,,memory,0.0,1.0,0.0,0.005580000000000001,0.006628996907526809
BA,16,max,0.6,2,1.2,proportional,,memory,0.0,0.9981370666666666,0.01853595262833829,0.0027800000000000004,0.0037190859091986565
BA,16,max,0.6,2,1.3,proportional,,memory,0.0,0.9487642666666667,0.17803642375778678,0.0016800000000000003,0.0021673947494630507
BA,16,max,0.6,2,1.4,proportional,,memory,0.0,0.6825105333333334,0.37757231596159757,0.0005600000000000001,0.0014164744967700618
BA,16,max,0.6,2,1.5,proportional,,memory,0.0,0.2514862666666667,0.33319908468971254,0.00016,0.0006118823416311341
BA,16,max,0.6,2,1.6,proportional,,memory,0.0,0.0021113333333333327,0.01476340094814049,0.00021999999999999998,0.0006257795138864805
