Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,1,0.5,0.1,0.1,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9769599999999999,0.13900574952137773,0.019658381622096974
BA,4,max,1,0.5,0.1,0.1,2.0,50,15000,0.9903506666666666,0.0675453333333333,0.009552352647501145,0.9766799999999999,0.1395401648271923,0.019733959359439248
BA,4,max,1,0.5,0.1,0.2,1.0,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0020099751242241798,0.00028425340807103816
BA,4,max,1,0.5,0.1,0.2,1.1,50,15000,1.0,0.0,0.0,0.9960000000000001,0.002227105745132011,0.0003149603149604727
BA,4,max,1,0.5,0.1,0.2,1.2,50,15000,1.0,0.0,0.0,0.9969199999999999,0.002161851058699468,0.00030573190870434214
BA,4,max,1,0.5,0.1,0.2,1.3,50,15000,1.0,0.0,0.0,0.9966799999999999,0.001725572368809841,0.00024403278468271454
BA,4,max,1,0.5,0.1,0.2,1.4,50,15000,1.0,0.0,0.0,0.99708,0.0015078461459976625,0.0002132416469641896
BA,4,max,1,0.5,0.1,0.2,1.5,50,15000,1.0,0.0,0.0,0.9964799999999999,0.0024514485513671322,0.0003466871788803275
BA,4,max,1,0.5,0.1,0.2,1.6,50,15000,1.0,0.0,0.0,0.9969999999999999,0.001341640786499875,0.00018973665961010292
BA,4,max,1,0.5,0.1,0.2,1.7,50,15000,1.0,0.0,0.0,0.9968,0.001743559577416271,0.0002465765601187593
BA,4,max,1,0.5,0.1,0.2,1.8,50,15000,1.0,0.0,0.0,0.9974000000000001,0.0012806248474865711,0.0001811077027627485
BA,4,max,1,0.5,0.1,0.2,1.9,50,15000,1.0,0.0,0.0,0.99696,0.0012158947322856541,0.00017195348208163755
BA,4,max,1,0.5,0.1,0.2,2.0,50,15000,1.0,0.0,0.0,0.9967999999999999,0.0016970562748477155,0.0002400000000000002
BA,4,max,1,0.5,0.1,0.5,1.0,50,15000,1.0,0.0,0.0,0.9966799999999999,0.0019019989484750002,0.0002689832708552711
BA,4,max,1,0.5,0.1,0.5,1.1,50,15000,1.0,0.0,0.0,0.99664,0.0016704490414256893,0.0002362371689637346
BA,4,max,1,0.5,0.1,0.5,1.2,50,15000,1.0,0.0,0.0,0.99684,0.0017476841819962796,0.0002471598672924067
BA,4,max,1,0.5,0.1,0.5,1.3,50,15000,1.0,0.0,0.0,0.99688,0.001607980099379344,0.00022740272645683054
BA,4,max,1,0.5,0.1,0.5,1.4,50,15000,1.0,0.0,0.0,0.9971199999999999,0.0015574337867145442,0.00022025439836697945
BA,4,max,1,0.5,0.1,0.5,1.5,50,15000,1.0,0.0,0.0,0.9970399999999999,0.0012800000000000012,0.00018101933598375632
BA,4,max,1,0.5,0.1,0.5,1.6,50,15000,1.0,0.0,0.0,0.99676,0.0015944905142395813,0.00022549501103128665
BA,4,max,1,0.5,0.1,0.5,1.7,50,15000,1.0,0.0,0.0,0.99708,0.001397712416772493,0.00019766638560969352
BA,4,max,1,0.5,0.1,0.5,1.8,50,15000,1.0,0.0,0.0,0.99708,0.0015600000000000015,0.00022061731573020304
BA,4,max,1,0.5,0.1,0.5,1.9,50,15000,1.0,0.0,0.0,0.99668,0.0019019989484750002,0.0002689832708552711
