Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,4,0.5,0.2,0.1,1.0,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0020099751242241798,0.00028425340807103816
BA,4,max,4,0.5,0.2,0.1,1.1,50,15000,1.0,0.0,0.0,0.9962399999999999,0.0021406541056415464,0.0003027342068547923
BA,4,max,4,0.5,0.2,0.1,1.2,50,15000,1.0,0.0,0.0,0.95668,0.19529162194011293,0.027618406036554678
BA,4,max,4,0.5,0.2,0.1,1.3,50,15000,1.0,0.0,0.0,0.9371200000000001,0.2367652542076223,0.03348366335991329
BA,4,max,4,0.5,0.2,0.1,1.4,50,15000,1.0,0.0,0.0,0.8371600000000001,0.3653699692092934,0.051671116573962284
BA,4,max,4,0.5,0.2,0.1,1.5,50,15000,1.0,0.0,0.0,0.83732,0.36544276925395586,0.05168141205501259
BA,4,max,4,0.5,0.2,0.1,1.6,50,15000,1.0,0.0,0.0,0.7975200000000001,0.3987619961831869,0.056393462316123126
BA,4,max,4,0.5,0.2,0.1,1.7,50,15000,1.0,0.0,0.0,0.71792,0.4477032874572176,0.06331480610410174
BA,4,max,4,0.5,0.2,0.1,1.8,50,15000,0.9263684000000001,0.1189734688916259,0.016825389326911085,0.69788,0.4568718700029583,0.06461143948249412
BA,4,max,4,0.5,0.2,0.1,1.9,50,15000,0.8770173333333333,0.1803974002719797,0.025512045008148156,0.6778400000000001,0.46499580041114347,0.06576033673879719
BA,4,max,4,0.5,0.2,0.1,2.0,50,15000,0.8796638666666666,0.20315577469776444,0.028730565185199133,0.73764,0.43723708717353793,0.06183466186533246
BA,4,max,4,0.5,0.2,0.2,1.0,50,15000,1.0,0.0,0.0,0.99664,0.0016218507946170648,0.00022936433898930342
BA,4,max,4,0.5,0.2,0.2,1.1,50,15000,1.0,0.0,0.0,0.9969999999999999,0.001280624847486571,0.00018110770276274848
BA,4,max,4,0.5,0.2,0.2,1.2,50,15000,1.0,0.0,0.0,0.9770000000000002,0.1395754992826463,0.01973895640605146
BA,4,max,4,0.5,0.2,0.2,1.3,50,15000,1.0,0.0,0.0,0.97708,0.1395909509961158,0.019741141608326504
BA,4,max,4,0.5,0.2,0.2,1.4,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.8972399999999999,0.29908551018061713,0.04229707848067051
BA,4,max,4,0.5,0.2,0.2,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.8572799999999999,0.34589264461679436,0.04891660691421677
BA,4,max,4,0.5,0.2,0.2,1.6,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.8173999999999999,0.38297221831354816,0.05416045051511296
BA,4,max,4,0.5,0.2,0.2,1.7,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.77748,0.4129106072747466,0.05839437808556574
BA,4,max,4,0.5,0.2,0.2,1.8,50,15000,0.9116612000000001,0.17200428906636794,0.02432507983839998,0.6777200000000001,0.4649158220581442,0.0657490260916464
BA,4,max,4,0.5,0.2,0.2,1.9,50,15000,0.8656366666666666,0.2378346191612053,0.03363489440196165,0.6975199999999999,0.45663649613231744,0.06457815259048527
BA,4,max,4,0.5,0.2,0.2,2.0,50,15000,0.8152205333333333,0.2267845698801299,0.032072181446142864,0.5980000000000001,0.4882669761513674,0.06905137797321644
BA,4,max,4,0.5,0.2,0.5,1.0,50,15000,1.0,0.0,0.0,0.9964399999999999,0.002050950998927085,0.00029004827184453305
BA,4,max,4,0.5,0.2,0.5,1.1,50,15000,1.0,0.0,0.0,0.9767999999999999,0.1395535739420528,0.019735855694648762
BA,4,max,4,0.5,0.2,0.5,1.2,50,15000,1.0,0.0,0.0,0.9770000000000002,0.1395818039717212,0.019739848023731087
